EVEN_NM,EVENT_TME_DC,EVEN_BGN_DT,EVEN_END_DT,HSTN_INSTT_NM,EVEN_PLAC_NM,EVENT_DETAIL_DC
2006 원형극장야외공연 빛깔 있는 여름축제 쿨&핫,,2006-08-08,2006-08-20,대전문화예술의전당,"대전문화예술의전당 야외 원형극장, 아트홀","' 해외인형극 초청작 :〈Gone with the Feet〉（이탈리아 발 인형극단 로라키벨）,〈어부와 물고기〉（체코 오스트라바 주립극단 • 참가작 : 뮤지컬〈The Play〉（목원대）, 가족마당극〈흥부 박 터졌네〉, 퍼포먼스 불꽃〈타오〉（집단 신명）"
춘천인형극제 2006,,2006-08-09,2006-08-15,재단법인춘천인형극제,"춘천인형극장, 육림랜드 외","• 해외초청작 ：〈어부와 황금물고기〉（체코 오스트라바주립극단）,〈청소부아저씨 요와낌〉（스페인 뻬르뽀）,〈세상에서 가장 작은 서커스〉（슬로베키아 안톤 안델르 전통인형 극단）,〈발 인형극〉（이탈리아 발 인형극단 로라키벨）,〈노리사와의 명작동화〉（일본 극단 노리사와）,〈일 • 중칼라그림자극 서유기-손오공과 백골마녀 대극장〉（일 • 중 극단 카케보우시 & 당산시피영극단）,〈환상의 인형 & 그림자 여행〉（홍콩 인형 & 그림자 아트센터） • 공식초청작 :〈호두까기인형〉（서울 인형극화）,〈내 마음의파랑새〉（인형극단 봄）,〈동굴속 거북이）（우리 인형극단,〈넙떠구리 콩쥐의 노래〉（창작공동체 얼굴과 얼굴 • 일반참가작 :〈개미와 비둘기〉（꿈나무 인형극단 ) ,〈덫에 걸린 호랑이〉（피노키오 인형 극단 ) ,〈소금인형〉（나를찾아서..）〉（극단로.기.나래) 〈웃어라. 바리야〉（춘천무지개인형 극단）,〈꼬마소녀와 선교사의 사랑이야기）（극단 은누라）,〈꼬마 마법사 해리〉 ( 극단 해오름）,〈브레멘의 음악대〉（무지개극단,〈고앙이가 말했어〉（달과 아이 극단,〈마리오네뜨로 만나는 아기돼지 삼형제 & 빨간모자）（인황극단 찬구들,〈청개구리 외 1편〉（개구쟁이 인형 극단 •자유참가작 :〈무지개 물고기〉（서울광진학교）,〈봄여름가을겨울〉（꿈을 먹는 아이들）,〈나도 태워줘＞（트라이어드 ) ,〈행복한 왕자〉（또바기 인형극단 ) ,〈은비의 피란마음〉 （도담인형극단 ) , （쥐의 결혼 〉（솔방울어린이인형극단)  •거리참가작 :〈날아라 호빵맨 “쓰레기와의 전쟁”〉（인형극단친구들）,〈햇님과 겨울바ㄹ마＞（인형극단파란나비）,〈어린이는 내친구〉（횃불인형극선교단）,〈돼지 삼형제의 모험〉 （피노키오 인형극단）,〈꽃 이야기（물망초）〉（극단 로.기.나래 ) ,〈로봇패품〉（극단 나무）, 〈거리의 인형〉（마법과 인형극단,〈동상 퍼포먼스＞（자파리연구소）,〈한지인형〉（자파리 연구소）,〈잊어버리기 쉬운것들〉（인형극단소리）"
서울프린지 페스티벌 2006 The 9th Seoul Fringe Festival,,2006-08-11,2006-08-27,서울프린지네트워크,"홍대 일원 30여 개 공연장, 전시장 및 프린지스트리트 （걷고 싶은거리）","• 연극:〈십이야〉（콴 ) ,〈비이〉（명품극단 ) ,〈보시니 좋더라〉（극단 노마드）,〈반딧불이 무덤〉（극단 P&P）,〈진흙〉（극단 시공）,〈고도를 찾아가는 영映극劇＞（허송세월 프로젝트）,〈사이드 와인더〉（극단 독）,〈어느 락커의 바지 속 고백〉（멀쩡한 소풍）,〈남자의 방〉（수도꼭지）,〈푸르른 날〉（함석지）,〈물고기남자〉（극단비락）,〈마드리드＞（작품）,〈굿 모닝 미스터 고도）（극단 청우）,〈막간극〉（이리）,〈아주 이상한 기차〉（드림플레이）,〈천국의 극장〉（극단 시선）,〈화이트 하우스〉（창작집단 아트캐슬）,〈금지된 장난）（극단 썰) • 복합장르 :〈나를 찾아가는 이야기-Stillness〉（순컴퍼니）,〈길가메쉬〉（컨실리언스컴 퍼니）,〈moving 콘서트〉（플레이&댄스그룹〈당-당〉）,〈팟저-나는 제자리에 없다＞（팟저 프로젝트,〈종이릴레이〉（하얀연극실험실）,〈왜?〉（E.V.E）,〈아름다운 이야기〉（기막힌 놀이터）, ＜2006 컬쳐럴무브먼트 ‘소비자 행동론〉（문화공동체 여인숙）/퍼포먼스 ：〈바이올린 뮤지컬 퍼포먼스 ‘트롤레’-트롤레 세 개의 시선〉（손예란） • 총체극 :〈춤, 섬, 바람 그리고...〉（극단 인형인） • 음악극 :〈음악모노드라마, 연기）（시릴 웡（싱가폴））"
2006 제3회 부산광대예술제,,2006-08-12,2006-08-27,WITH 광안리,"부산시 수영구내 3개 소극장 （액터스, 너른, SH공간소극장）, 수영구내 광안리 해수 욕장테마거리 일대","•참가작 :〈가출소녀, 우주여행기〉（극단 바문사）,〈태몽〉（경상전문대 엔터테인먼트과）,〈강택구〉（부두연극단）,〈도덕적 도둑〉（극단 사계）"
2006 성남탄천페스티벌,,2006-08-15,2006-08-17,성남탄천 페스티벌사무국,"성남아트센터 앙상블시어터 , 성남아트센터 오페라 하우스","• 해외초청작 : （Groupe Djembe Rhythm〉（세네갈）,〈Son Reinas〉（일본 ) ,〈Bomba〉 （쿠바） ' 참가작 :〈곤두와 나〉（Earth-Visual and physical Inc）,〈한 여름 밤의 꿈＞（극단 여행자）,〈미스사이공〉((주)KCMI 뮤지컬）"
2006 동래야외극 페스티벌,,2006-08-18,2006-08-27,극단 맥,동래문화회관 놀이마당,"• 참가작 :〈어무이 어무이요, 댄싱 퍼포먼스〈러브(love）〉,〈메아리）,〈동래별곡〉 • 부대행사 : 어린이 연극교실-연극만들기 체험교실"
2006 제10회 수원 華城(화성)국제연극제,,2006-08-18,2006-08-27,（재）수원화성문화재단,"수원화성 장안공원, 수원청 소년문화센터 온누리홀, 수원장안구민회관 한누리아트홀, 영통종합사회복지관","• 공식초청작 ：〈M, anaverge piece〉（벨기에. Theatre de L‘L&XL production）,〈시인의 죽음〉（까두), 〈돌아온 퍼즐 속의 기억〉（까두）,〈Wire Dreams〉（벨기에 collectif MeTAmorphoZ）,〈그림자로부터/꿈 70—18〉（극단 꽃, 〈Insectes〉（스위스. Sarruga Productions）,〈RED〉（호주. Stalker）,〈오르페중독＞（코포럴씨어터 몸꼴), 〈imag’in 1son＞ （프랑스. Scen’Art Video）,〈REVE〉（프랑스 La Salamandre） • 기획공연 :〈片鱗(편린)에 대하여〉（J.Company）,〈회오리〉（GYTA）,〈성벽을 따라 사천육백보〉（극단 우물가） • 어린이 연극제 :〈西遊記(서유기)＞（대만 新興閣掌中劇團(신흥각장중극단)）, （Overture des Saponettes〉（이탈리아. L’Atlante） • 이동무대 공연 : （Speerman 슈퍼맨? NO 스피어맨〉（스위스. Loco Brusce）, ＜De Calle 거리에서〉（스위스 Company Dos）, （Cartoon Combo 카툰 콤보）（스위스 Sebastian） • 부대행사 :〈그림동요〉（이두성-마임）,〈줌마난타〉（사랑나눔터-퍼포먼스）, <진화> (이경열-마임）,〈삐에로의 외출>（현대철-마임）,〈거미〉（크레이지버드씨어터-마임）"
제19회 충북청소년연극제,,2006-08-19,2006-08-20,（ 사）한국연극협회 충북지회,"청주 문화공간 너름새, 충주 문화회관","• 경연작 :〈집의 유령〉（충주예성여고）,〈우리들의 일그러진 영웅〉（대원고）,〈죽은 시인의 사회〉（충주공업고）,〈탑과 그림자〉（청주고）,〈낙오자를 위하여〉（중앙여고）,〈빨간 피터의 고백〉（양업고）,〈사람은무엇으로사는가＞（청주외국어고）,〈도덕적 도둑〉（충북 공업고）,〈우리들의 겨울〉（충북여고）"
제27회 근로자연극제,,2006-08-19,2006-10-01,노동부 근로복지공단 KBS 한국방송 공동주최,상상블루소극장,"• 참가작 ：〈갈매기〉（극단 2010）,〈꽃잎이 흔들리는가? 바람이 흔들리는가?〉（연극패 극담）,〈반쪽 날개로 날아온 새〉（극단 마루）,〈채플린, 지팡이를 잃어버리다〉（엔씨어터）,〈결혼전야〉（청어）,〈막간극〉（이리）,〈꽃마차는 달려간다〉（극단성전）,〈레이디〉 （극단 숙）,〈아버지〉（극단 멍석）,〈양덕원 이야기〉（장강은 굽이쳐흐르고）,〈미정〉（아해）,〈순애〉（플레이고어）,〈가족사진〉（극단 현）,〈더블 게임〉（술보다연극）,〈우리들의 일그러진 영웅〉（예안）,〈눈먼 아비에게 길을묻다〉（연극패 청년）,〈팽〉（함바꿈）,〈사랑을 주세요〉（좋은사람들）,〈꽃잎은 떨어져 바람에 뒹구는데〉（극단 길）,〈남편을 죽이는 30가지 방법〉（연극같은 내인생）,〈부자유찬〉（극단 일상탈출）,〈식당에서...〉（극단환 희）,〈의자는 잘못없다〉（이삭）,〈피카소, 돈 년, 두보（극단배우세상）,〈꿈꾸는 방황〉 （액터2002）, (아름다운 사인）（끼리）, 〈돌’〉（극단무리）,〈나의 살던 고향은〉（극단 틈새）,〈처용의 노래〉（극단 한얼）,〈행복찾기〉（시지프스）"
2006 한민족문화공동체대회 ’나. 한국인‘? 세계인 축제',,2006-08-30,2006-09-03,2006 한민족 문화공동체 대회 재외동포재단,"국립극장 달오름극장 타워호텔, 남산한옥마을, 제주도 외","• 공연 1. 연극〈심청은 누구나?!〉（일본 KJ 액터즈 스쿨 하나. 부루나 팀）, • 공연2. 클래식 음악〈피아노, 바이올린, 클래식 기타 연주〉, '공연3. 무용〈전통예술, 행위예술, Dance theater）"
제10회 대전시 청소년연극제,,2006-08-30,2006-09-08,대산문화재단과한국연극협회,대전 연정국악문화회관 대극장,"• 경연작 :〈베르나르다 알바의 집〉（호수돈여고）,〈꿈꾸러기〉（신탄진고）,〈아비〉（둔산 여고）,〈길 위의 가족〉（중일고）,〈세상에서 가장 아름다운 이별）（대덕고）,〈웃어라 무덤아〉（신일여고）,〈매직타임〉（대전외국어고）,〈숨은그림찾기〉（유성여고）,〈헤더웨이 집의 유령〉（서대전여고）"
제10회 경남청소년연극제,,2006-09-01,2006-09-06,경상남도 연극협회,김해 장유문화센터,"참가작 : <전화＞（통영 충렬여고）,〈클릭!광수사랑〉（거제고）,〈혼자 가지마〉（진해여고）,〈로미오와메피스토텔레스＞（마산무학여고), 〈한걸음더〉（김해분성여고,〈우리가 강을 건너는 법〉(진주 경해여고)"
제17회 광주학생연극제,,2006-09-02,2006-09-06,"한국연극협회, 대산문화재단",궁동예술극장,"• 경연작 :〈열입골살＞（전남여고）,〈만선〉（광주정보고）,〈엘렉트라〉（광주동신여고）, 〈가시고기〉（국제고） • 비경연작: 뮤지컬〈그리스〉（진달래 꽃망울）"
"8.7-8 호주무용단, 일본무용단, 미국무용단, 독일무용단, 윤여숙 무용단 캐나다 무용단, 신은주무용단, 툇마루 무용단"" 제1회 성남국제무용제 환경과 춤",,2006-09-05,2006-09-10,,성남아트센터 오페라 하우스,"9.5 댄스스포츠경연대회 9.7 B-Boy 댄스스포츠 경연 개막선포식 9.8 지구촌-동서양 춤의 만남, 성남의 춤, 성남의 아티스트, 달구벌 덧배기춤, 프랑스 파리오페라발레단, 러시아 보리스에 이프만발레단, 키로프발레단 외 출연 9.9 우리춤한마당, 릴레이즉흥 9.10 떠오르는 한국의 안무가전-이유경, 이원국, 최지연, 신종철"
제9회 서울변방연극제,,2006-09-08,2006-09-24,서울공연예술가들의 모임,"씨어터디아더, 열린극장, 신 연아트홀, 대학로 마로니에 공원 쇳대박물관 1층 주차장, 낙산공원, 동승교회, 인사동 쌈지길","• 참가작 : 극장공연〈GRACE ： Electro-Visual High-Tech Dance〉（극단 Joe Ink）, 〈그녀를 축복하다〉（극단 놀땅）,〈카리스마〉（극단 통）,〈어느 락커의 바지 속 고백）（극단멀쩡한소풍）,〈진공청소기〉（정금형）,〈별 S.T.A.R.〉（극단드람플레이）,〈더 벤치〉（극단 오늘）,〈인터랙티브 드라마, 선택〉（양승주）/대안공간공연〈길거리 병원 소동〉（극단 경계없는예술센터）,〈궤도＞（극단 환 move）,〈아주 가끔은?〉（극단 기막힌놀이터）.〈The murmur of living dead doll） （Cheng shin-chun）,〈아담과 이브 _오작교에서 만나다〉 （극단 신비디움）,〈Showindow-흔들리는 눈동자＞（이소영）,〈기저귀 Man〉（극단 비주얼씨 어터컴퍼니 꽃 ) ,〈달려라달려달달달〉 ( 극단 마실）,〈Kuso---Spring snow is coining again（Yeh Yi-li）,〈기분전환＞（극단아트맨）,〈로마오와줄리엣-그런지＞（열혈예술청년단）"
제1회 거창대학연극제,,2006-09-11,2006-09-22,거창연극제육성진흥회,"거창문화센터, 위천면 수승대 내 장미극장, 거창문화센터 및 야외공연장","• 참가작 :〈신 태평천하〉（가야대학교）,〈무소의 뿔처럼 혼자서 가라＞（경남대학교）, （눈먼 사랑）（계명대학교）,〈처음 만나는 자유〉（단국대학교）,〈사마귀〉（대구과학대학교）, 〈한여름（?） 밤의 꿈＞（상명대학교 ) ,〈산불〉（서경대학교）,〈고추말리기〉（영산대학교）,〈허생 전〉（한성디지털대학교 ) , （왕! 그의 이름은〉（호남대학교) （도덕적 도둑〉（서울종합예술학교), <향기>（서울종합예술학교)"
제15회 전국무용제,,2006-09-11,2006-09-20,,포항문화예술회관 대공연장 및 야외특설무대,"공연횟수:17회, 9.12 백경원무용단 9.13 오문자알타비아댄스컴퍼니 , 제주민속무용단 9.14 김평호무용단, 안지혜모던댄스그룹 9.15 박재희무용단, 박지영무용단 9.16 이미숙무용단, 최경희무용단 9.17 정진용무용단, 장정윤순수현대무용단 9.18 정선혜무용단 백영태발레류보브 9.19 박금자발레단, 울산춤포럼"
제27회 서울무용제,,2006-09-15,2006-10-04,,아르코예술극장 대극장  아르코예술극장 소극장,9.15-16 개막초청공연 9.18 최재선댄스컴퍼니/ SIN DANCE/ RETINA 댄스프로젝트 9.19 C.D.P무용단/남수정무용단/YAN 발레단 9.21-22 초청작공연/ 온앤오프무용단 9.24-25 현대무 용단탐/ 김은희무용단 9.27-28 춤타래무용단 발레 뽀에마 9.30-10.1 박재홍발레단/ 백연옥발레단 10.3-4 전미숙무용단 / 유정숙무용단 9.19-20 YDA무용단/ 윤푸름무용단/ 사하르댄스시어터/ 윤승 혜무용단 9.22-23 신동현무용단/ ECNAD PROJECT/ 관용상 무용단
제8회 건전한 성 가꾸기 연극제,,2006-09-16,2006-09-16,대구광역시,대구 동구 문화체육회관 공연장,"• 참가작 :〈지켜주세요〉（경일여고）,〈남과 여 혹은 여와 남〉（대구제일중학교）,〈키우고 싶었어요〉（도원고등학교）,〈여자가 되고싶어요〉（제일여정보고）"
거리극의 메카 제10회 과천한마당축제,,2006-09-19,2006-09-24,과천한마당축제,,"• 국내 참가작 :〈미몽 Mystery Dream〉（극단 한국실험에술정신（KoPAS））,〈익스트림 로미오와 줄리엣 Extreme Romeo & Juliet〉（극단 앙상블 Theatrical Company Ensemble）,〈다시라기 Dasiraki〉（극단 극단 민예 Theatre Min-Ye Group）,〈리어카, 뒤집어지다 Handcart overturned〉（극단 코포럴 씨어터 몸꼴 Corporal Theatre Momggol）,〈페인팅 퍼포먼스〈벽〉（Painting Performance ＜Wall〉〉（극단 비주얼 씨어터 컴퍼니）,〈크로커스（Crocus） 꽃말... 나는 당신을 기다립니다〉（극단 4관객 프로덕션 Production — 4 audience）,〈봄이 오면 When spring comes〉（극단 예술무대 산 The stage of art SAN, Art, Factory）, 김원범 마임컴퍼니 Art Factory Kim Won Beum Mime Company）,〈꼭두 Kokdu〉（극단 창작그룹 노니 Creative Group Noni）,〈목각인형콘서트 Marionette Concert〉（극단 극단 보물 Marionette Theatre Bomul）,〈이사 가는 날 A Day of Moving〉（극단 기막힌 놀이터 Let's Play!）,〈왕이 웃다 Smiling King〉 （극단 한뫼 과천시 국악예술단 HANMOI Gwacheon City Korean Traditional Music & Dance Art Group）,〈요리의 출구 Coming out of the Kitchen〉（극단 일로토피 （Ilotopie）, 호모루덴스（Homo—ludens）） • 해외 참가작 :〈시간의 항기 The Fragrance of Time〉（폴란드. 극단 극단 KTO（Teatr KTO））,〈인간모빌 Mobile Homme〉（프랑스 극단 트랑스 엑스프레스 Transe Express）, 〈비상 9.81（9.81）〉（프랑스 극단 에릭 르꽁트（Eric Lecomte）,〈사우루스 Sau’rus〉（네덜란드. 극단 클로즈 액트Close-Act）,〈쥐와 고양이 옷장 RatCatCabinet〉（네덜란드 극단 디멘찌 & 스띠흐팅 다아트 Dimenzie & Stichting Daad）,〈땡큐 Thank you〉（일본. 극단 테쯔카 Tezuka）,〈줄광대놀음 Rope-Walking〉（한국 김대균 Dae Gyun Kim, 중국. Wang Hui, 캐니다. Flyin Bob, 일본. Simizugeinin） • 자유참가작 :〈먹중야행 Mukjungyahaeng〉（극단 환 무브 HWAN MOVE）,〈거인의 정원 Garden of Giant〉（극단 단무 DANMOO）,〈손 Fool’ s Hand〉（극단 레드 노우즈 Red Nose）,〈벤치 The Bench〉（극단 오늘 Oneul）,〈길거리 병원소동 The madness in the street hospital〉（극단 경계없는 예술센터 Centre d'Arts Sans Frontieres）,〈까뽀에라 이야기 Capoeira Story〉（'극단 까뽀에라 코리아 Capoeira Korea）"
제3회 2006 고마나루 전국향토 연극제,,2006-09-20,2006-09-25,고마나루 전국향토연극제 집행위원회,충남 공주시 공산성（공북루/ 쌍수정 야외무대）,"• 공식초청작 ：〈북어가 끓이는 해장국〉（대전 민족예술단 우금치）, 마당극〈밥〉（경기극단 길라잡이）,〈금강낙화＞（충남 극단 젊은무대） •공식초청공연: 마당극（아리야곡 ： 신배비장전〉 ( 서울극단 제의와 놀이）,〈퍼포먼스（한영애）,〈햇님달님〉（아동극） • 공식참가작 :〈명학소의 북소리〉（대전극단 앙상블）, 가족마당극〈콩쥐야 훨훨〉（전북극단 창작극화）,〈선녀와 나무꾼〉（서울극단 초안）,〈아귀야 나오너리〉（광주극단 진달래피네） • 폐막축하공연 ：〈은어송>（서울극단 만들레）"
2006 6대 광역시 및 제주도 예술교류 연극페스티벌,,2006-09-20,2006-09-30,"부산광역시, （사）한국예총부산광역시연합회",부산시민화관소극장 부신 문화 회관소극장,"• 참가작 ：〈실종〉（부산연극협회）,〈바리데기〉（부산극단 동녘）,〈나의 라임 오렌지 나무〉（인천극단感(감)&動(동), 뮤지컬〈캣츠＞（대전극단한밭）,〈의자는잘못 없다〉（울산극단 푸른가시）,〈적의 화장법>（대구극단 고도),〈아귀야 나오너리＞（광주극단 진달레피네）"
제5회 김천전국가족연극제,,2006-09-24,2006-09-29,김천시,김천문화예술화관 및 문화회관,"• 초청작 :〈로미오와줄리엣〉, ＜CATS＞ • 본선잔출작품 :〈장흥댁〉（연극패 청년）,〈사랑과 신념〉（초지고 ),〈리어욍〉（한국방송연극 영화예술원）, ＜심청의노래〉（인덕대 ) ,〈장님〉（중부대）,〈브라이튼 해변의추억〉（서경대）, （날 보러외요〉（서울종합예술학교）,〈허생전＞（한성디지털대）,〈슬픈 연극〉（극단마루）,〈Youth 28 청춘>（공주영상대）,〈우리 젊은 날의 일기）（안산예술종합학교）"
제13회 Be Se To 연극제,,2006-10-07,2006-10-22,"의정부 예술의전당, 베세토연극제한국위원회",의정부 예술의전당,"• 한국 :〈그래도 지구는 돈다〉（서울시극단）,<아름다운남자>（연희단거리패）,〈억척어멈과 자식들〉（극단 청우）,〈애니깽〉（극단 김상열 연극사랑） • 중국:〈원야（原野）〉（천진인민예술극원）,〈도화선（桃花扇)〉（강소성곤극원） • 일본:〈오해(誤解)〉(（재） 시즈오카현 무대예술센터）,〈겨울 불꽃, 봄의 낙엽（冬(동)の花火(화화)、春(춘)の枯葉(고엽)〉（Ort-d. d）"
2006 서울국제공연예술제 THE 6th SEOUL FERFORMING ARIS FESTIVAL,,2006-10-07,2006-10-29,（사）서울국제공연예술제,"아르코예술극장, 국립극장, 서강대학교 메리홀, 드라마 센터, 동덕여자대학교 공연 예술센터 外(외)","• 참가작 : 해외작품＜정화된 자들〉（폴란드),〈꼴렉시옹 빠띠큘리에＞（프랑스), 〈Pushed〉（인도), 〈도화선〉（중국）,〈Light〉（벨기에）,〈세자매〉（루마니아）,〈떠들썩한 잔치〉（벨기에）, 〈개와 늑대 사이〉（러시아）,〈풀리지 않는 매듭〉（이스라엘）, 〈갈매기〉（헝가리）, <Heart n'Seoul>（영국）, 〈사중주〉（슬로베니아）,〈오해〉(일본) • 국내작품 : 〈가을 그리고 또 봄〉（서울발레시어터）,〈억척어멈과  자식들〉（극단 청우）, <선禪>  （극단 완자무늬）,〈막득이 실연 전말기〉（창작극회）,〈새벽4시48분〉（4.48싸이코시스〉（극단 풍경）,〈선택 & 볼레로 2006-귀신이야기〉（안성수 픽업그룹）,〈닻을 내리다- 피터를 위한（YJKDance Project）,〈노래하듯이〉（김윤진 댄스컴퍼니）, <안팎＞（N0W무용단 ), 토탈시어터〈앨리스（부제:공감각적 중장비 연극）〉（홍성민 외）,〈쇼팽과 조르쥬 상드〉（（사）한국페스티벌앙상블）,〈아름다운 남자〉（연희단거리패, 〈요리의 출구〉（남긍호 호모루덴스）,〈굿모닝 비보이〉（SJ비보이팀）"
2006 서울국제공연예술제,,2006-10-07,2006-10-29,,아르코예술극장 대극장  아르코예술극장 소극장  서강대학교 메리홀  드라마센터  국립극장 해오름극장  동덕여대 공연예술센터  마로니에공원,"""10.7-9〈정화된 자들〉 10.13-14 〈노래하듯이〉 10.16-17 〈닻을 내리다-피터를 위한> 10.21-23〈개와 늑대 사이> 10.25-26 〈가을 그리고 또 봄＞ 10.28-29 〈떠들썩한잔치〉"
제24 회 전국연극제,,2006-10-10,2006-10-29,한국연극협회 경기지회,"경기도문화의 전당 소공연장, 수원 청소년 문화센터 온누리 아트홀","• 초청작 :〈아름다운 남자〉（연희단거리패）,〈베르나르다 알바의 집〉（카자흐스탄 국단 국립고려）,〈제부시카 춘항＞（경기도 연극협회, 우수리스크 고려인 문화센터 극장 우수 리스크 국립극장）,〈해구산〉（중국 연변극단） • 경연작 ：〈파도소라）（전남극단 파도소라）,〈금강낙회＞（충남극단 젊은무대), 〈=PLAY5〉 （부산 바다와 문화를 사랑하는사람들), 〈늙은 부부이야기〉（제주극단 세이레）, 〈나비는 천년을 꿈꾼다〉（울산극단 푸른가시）, 〈깡통꼬〉（광주극단 Y）,〈아버지〉（경기극단 유리）, 〈사슴아 사슴아〉（인천극단 십년 후）,〈육교에서 시를 읊다〉（대구극단 이송희 레퍼토리）, 〈그것은목탁 구멍 속의 작은 어둠이었습니다〉（충북극단 청시）,〈김치국씨 환장하다＞（경북극단 구미 레퍼토라）, <바라나시>（경남극단입체）,〈붉은 훈장〉（강원극단 굴렁ㅛㅚ）,〈이등병의편지〉（전북극단 명태）,〈그 여자의 소설〉（대전극단고도）"
제4회소극장연극제,,2006-10-11,2006-10-21,충북연극협회,청주예술의전당 소공연장 충주문예회관,"• 공연작: 〈뻥쟁이 김영감＞（시민극장）,〈그것은목탁구멍 속의 작은 어둠이었습니다＞（청사극단), 〈허탕〉（달래극단), 〈시장사람들>（극단늘품)"
제11회 인천 국제클라운마임 축제 11th Incheon International Clown Mime Festival,,2006-10-11,2006-10-15,"클라운마임협의회, 소극장 돌체 극단 마임","학산소극장, 여성의 광장 공연장 도화문화화관","•참가작 ： （BODY LANGUAGE SCHOOL〉（인도 ASHOK CHATTYERJE）, （VISUAL SOUND ART>（네덜란드 MARTIEN&ROY), <MR QWIRK> (뉴질랜드 RUSSEL GRAY), <YEN TOWN FOOLS>（일본 BUTCHY&BIRI）,〈CLOWN ANTE〉（스웨덴 ANDREJ RODIKOV）, 〈TOTO〉（프랑스 DOMINQUE DENIS&CLAUDIE DENIS）, <AYA CONTEMPORARY CIRCUS> （호주 프랑스 룩셈부르크 LUDOVIC DUMAS, ANNA KEMP, FRANCISCA ELTING）, 〈THEATRE MIME〉（한국）, <CHOI, KYOU HO〉（한국클라운마임협회）"
제 16 회 인형극과 함께하는 국 화축제,,2006-10-16,2006-10-23,전남도와22개 시군,"광주시 북구청 광장 민원실 앞, 북구청 민방위교육장, 3층 회의실","• 참가작 :〈신기한 빨간모자〉（대구 친구친구팀）,〈수탉이 왜이래〉（부산 쇼포키즈팀）, 〈방귀쟁이 며느리〉（서울극단 씨앗팀）,〈심술팥쥐〉（광주 교육극단 소나무팀）,〈멋진 내 친구〉（광주 북구 주부인형극단）"
2006 전주한옥마을국제마임 축제 The 4th Jeonju International Mime Festival,,2006-10-18,2006-10-22,전주한옥마을마임축제위원회,"전주한옥마을일대 , 전주예수 병원, 완주군 소양 성바오로 복지병원, 정읍애육원, 전북대 코앞 중앙문화광장, 문화공간 다문, 전주공애품전시관 주차장 특설무대, 전주한옥생활체험관","•참가작:〈죄〉（한국박창룡）,〈마음〉（한국박창룡）,〈덫〉（한국박창룡）,〈인간>（한국박 창룡）,〈가면 만드는 사림＞（한국 최경식）,〈코믹 마임쇼＞（일본 교모토 치에미）,〈골고다 십자가〉（한국 최경식）,〈코믹 아크로바틱쇼〉（일본 다이스케）,〈삭개오〉（한국 조인정）, 〈모세〉（한국조인정）,〈풍장〉（한국강지수）,〈판초우의〉（한국강지수), 〈이상한풍선〉（한국 최경식）,〈아낌없이 주는 나무〉（한국 최경식）,〈소년과 거인> (한국 최경식）,〈외출준비＞（한국최경식）,〈다문〉（한국 유홍영）,〈날리고. 달고. 꽃이피고>（한국 조성진), 〈세일즈맨의하루〉（한국 강정균）,〈앗 신문이）（한국 강정균）,〈인생〉（한국 강정균）,〈전설속으로>（일본 부토전문가사승이）,〈파리〉（한국김세진),〈바퀴벌레〉（한국김세진 ) ,〈의지〉（한국 감세잔） • 태조로 거리공연 :〈코믹 아크로바틱 퍼포먼스（한국 레드 노우즈 ) ,〈살림알라아쿠〉（한국 임혜영 ),〈나비의 꿈외〉（모던메아라）,〈전설의꽃〉（한국 서승아)"
제2회 名作(명작) 코미디 페스티벌,,2006-10-31,2006-12-31,코미디 페스티벌 집행위원회,상명아트홀1관 삼일로창고 극장 소극장북촌창우,"• 참가작 :〈아카시아 흰꽃은 바람에 날리고〉（극단 성좌）,〈경숙이, 경숙아버지〉（극단 골목길）, （Force Relay-다져넣고 채워넣고 쑤셔넣기〉（극단 수레무대）,〈서쪽 나라에서 온 플레이보이〉（극단 신화）,〈황소 지붕 위로 올리기〉（극단 아름다운 사람）,〈유쾌한 유령〉（공연제작센터（PCPA））,〈체인징 파트너〉（플레이박스 씨어터）,〈굿 닥터〉（극단 호연）,〈뜻대로 생각하세요〉（극단민중）"
제10회 전국청소년연극제,,2006-11-01,2006-11-09,"대산문화재단, 한국연극협회, 예술의전당",예술의전당 자유소극장,"• 경연작 :〈죽은시인의 사회〉（부산 부흥고등학교）,〈도시탈출〉（전남 목포여자상업고등학교）, 뮤지컬〈가스펠〉（전북 온고을여자고등학교）,〈나의 라임오렌지나무〉（경기 세원고등학교）,〈세상에서 가장 아름다운 이별〉（울산 학성여자고등학교）,〈아비〉（대전 둔산여자고등학교）,〈탑과그림자〉（제주 대정여자고등학교）,〈귀족수업〉（인천 영화여 자고등학교）,〈그 자매에게 무슨 일이 일어났는가〉（경기 안산정보고등학교）,〈청춘예찬＞（서울 서라벌고등학교）,〈꿈꾸러기〉（대구 대구관광고등학교）,〈엘렉트라〉（광주 동신여자고등학교）,〈낙오자를 위하여〉（충북 중앙여자고등학교）,〈할매의 아바타〉（서울 대진여자고등학교）, 뮤지컬〈판타스틱스〉（경북 상주여자고등학교）,〈아카시아 꽃잎은 떨어지고〉（강원 속초여자고등학교）,〈죽은 시인의 사회〉（충남 천안 중앙고등학교）, 〈한걸음 더〉（경남 분성여자고등학교） • 비경연작 :〈뮤지컬 천사수업〉（인천 남구청소년미디어센터）"
